name,summary
Bruno_Le_Maire,"Bruno Le Maire, né le 15 avril 1969 à Neuilly-sur-Seine (Hauts-de-Seine), est un homme politique et écrivain français."
Catherine_Vautrin,"Catherine Vautrin, née le 26 juillet 1960 à Reims (Marne), est une femme politique française."
Bérangère_Couillard,"Bérangère Couillard, née le 24 juillet 1986 à Rennes (Ille-et-Vilaine), est une femme politique française."
Olivier_Klein,"Olivier Klein, né le 16 février 1967, est un homme politique et haut fonctionnaire français."
Simon_Berger,"Simon Berger, né le 9 avril 1976 dans le Canton de Berne, est un artiste plasticien contemporain suisse. Il est surtout connu pour être le pionnier de l'art consistant à casser du verre avec un marteau. Son travail a été largement exposé dans le monde."
Cédric_O,"Cédric O, né le 18 décembre 1982 à L'Arbresle (Rhône), est un homme politique français."
Patrick_Bernasconi,"Patrick Bernasconi, né le 16 juillet 1955 à Domjean (Manche), est un chef d'entreprise français. Il est responsable de quatre sociétés de travaux publics. Il est élu président du Conseil économique, social et environnemental le 1er décembre 2015, jusqu'au 18 mai 2021
."
Chrysoula_Zacharopoulou,"Chrysoula Zacharopoulou, née le 7 mai 1976 à Sparte, est une gynécologue et femme politique franco-grecque."
Claude_d’Harcourt,"Claude d'Harcourt, né le 13 juillet 1955 à Paris, est un haut fonctionnaire français."
Alexis_Kohler,"Alexis Kohler, né le 16 novembre 1972 à Strasbourg (Bas-Rhin), est un haut fonctionnaire français, secrétaire général de la présidence de la République française de mai 2017 à juin 2025."
Isabelle_Rome,"Isabelle Rome peut faire référence à :Isabelle Lonvis-Rome, une magistrate française, nommée ministre déléguée chargée de l'Égalité entre les femmes et les hommes, de la Diversité et de l'Égalité des chances en 2022
Isabelle Rome (eo), une chanteuse espérantiste."
François_Durovray,"François Durovray, né le 4 mars 1971 à Paris, est un homme politique français."
Édouard_Philippe,"Édouard Philippe, né le 28 novembre 1970 à Rouen (Seine-Maritime), est un haut fonctionnaire et homme d'État français. Il est notamment Premier ministre du 15 mai 2017 au 3 juillet 2020."
Jean-Michel_Blanquer,"Jean-Michel Blanquer, né le 4 décembre 1964 à Paris, est un universitaire, haut fonctionnaire et homme politique français."
Joël_Giraud,"Joël Giraud, né le 14 octobre 1959 à Gap (Hautes-Alpes), est un homme politique français."
Maurice_Gourdault-Montagne,"Maurice Gourdault-Montagne est un diplomate de carrière et consultant français, né le 16 novembre 1953 à Paris."
David_Kimelfeld,"David Kimelfeld, né le 17 juin 1961 à Lyon, est un homme politique français."
Guillaume_Larrivé,"Guillaume Larrivé, né le 24 janvier 1977 à Mulhouse, est un avocat, conseiller d'État, essayiste et homme politique français."
Jean-Louis_Nadal,"Jean-Louis Nadal, né le 25 février 1942 à Sousse, est un ancien magistrat français, président de la Haute Autorité pour la transparence de la vie publique du 19 décembre 2013 au 19 décembre 2019. Du 20 octobre 2004 au 30 juin 2011 il a été procureur général près la Cour de cassation."
Anne_Genetet,"Anne Genetet, née Frantzen le 20 avril 1963 à Neuilly-sur-Seine (Seine), est une femme politique française."
Christian_Masset,"Christian Masset, né le 23 janvier 1957 à Sète (Hérault), est un haut fonctionnaire et diplomate français."
Marina_Ferrari,"Marina Ferrari, née le 10 octobre 1973 à Aix-les-Bains (Savoie), est une femme politique française."
Marlène_Schiappa,"Marlène Schiappa, née le 18 novembre 1982 à Paris, est une femme politique et essayiste française."
Amélie_Oudéa-Castéra,"Amélie Oudéa-Castéra, née Castéra le 9 avril 1978 à Paris 14e (France), est une sportive, haute fonctionnaire, administratrice de société et femme politique française."
Kering,Kering est un groupe français d'entreprises aujourd'hui numéro deux mondial de l'industrie du luxe après LVMH quant au chiffre d'affaires.
Richard_Attias,Richard Attias est un homme d'affaires marocain né à Fès le 19 novembre 1959.
Didier_Migaud,"Didier Migaud, né le 6 juin 1952 à Saint-Symphorien (Indre-et-Loire), est un homme politique et haut fonctionnaire français."
Thomas_Andrieu,"Thomas Andrieu, né le 15 décembre 1976 dans le 14e arrondissement de Paris, est un haut fonctionnaire français."
François_de_Rugy,"François Goullet de Rugy [fʁɑ̃swa ɡule də ʁyʒi], dit par convenance François de Rugy, né le 6 décembre 1973 à Nantes, est un homme politique français."
Alain_Anziani,"Alain Anziani, né le 30 mai 1951 à Paris et mort le 19 juillet 2025 à Bordeaux, est un homme politique français membre du Parti socialiste. Il est maire de Mérignac (Gironde) de 2014 à 2025 et président de Bordeaux Métropole de 2020 à 2024."
Benoît_Ribadeau-Dumas,"Benoît Ribadeau-Dumas, né le 10 juin 1972 à Neuilly-sur-Seine, est un haut fonctionnaire et industriel français."
Pierre_de_Bousquet_de_Florian,"Pierre de Bousquet de Florian, né le 12 juin 1954 à Boulogne-Billancourt, est un préfet français. Il a notamment été directeur de la Surveillance du territoire de 2002 à 2007, coordonnateur national du renseignement et de la lutte contre le terrorisme de 2017 à 2020 puis directeur de cabinet du ministre de l'Intérieur, Gérald Darmanin de 2020 à 2022."
Guillaume_Houzel,"Guillaume Houzel, né le 16 avril 1970 à Nice, est un responsable de l'enseignement supérieur et de la recherche en France."
Emmanuelle_Wargon,"Emmanuelle Wargon, née Stoléru le 24 février 1971 à Neuilly-sur-Seine (Hauts-de-Seine), est une haute fonctionnaire, lobbyiste et femme politique française."
Jean-Marie_Le_Guen,"Jean-Marie Le Guen, né le 3 janvier 1953 à Paris, est un homme politique français."
William_Bourdon,"William Bourdon, né le 14 août 1956 à Neuilly-sur-Seine, est un avocat français du barreau de Paris, à la tête du cabinet d'avocats Bourdon & Associés."
François_Bayrou,"François Bayrou, né le 25 mai 1951 à Bordères, est un homme d'État français, Premier ministre depuis le 13 décembre 2024."
Jean_Castex,"Jean Castex, né le 25 juin 1965 à Vic-Fezensac (Gers), est un haut fonctionnaire et homme d'État français. Il est Premier ministre du 3 juillet 2020 au 16 mai 2022."
Olivier_Becht,"Olivier Becht, né le 28 avril 1976 à Strasbourg (Bas-Rhin), est un homme politique français."
Amélie_de_Montchalin,"Amélie de Lombard de Montchalin, née Amélie Bommier, appelée Amélie de Montchalin, le 19 juin 1985 à Lyon, est une femme politique française."
Philippe_Tabarot,"Philippe Tabarot, né le 25 novembre 1970 à Cannes (Alpes-Maritimes), est un homme politique français."
Brigitte_Bourguignon,"Brigitte Bourguignon, née le 21 mars 1959 à Boulogne-sur-Mer (Pas-de-Calais), est une femme politique française."
Rima_Abdul-Malak,"Rima Abdul Malak, née le 11 février 1979 à Beyrouth (Liban), est une femme politique franco-libanaise."
Sébastien_Lecornu,"Sébastien Lecornu, né le 11 juin 1986 à Eaubonne (Val-d'Oise), est un homme politique français."
Christophe_Castaner,"Christophe Castaner, né le 3 janvier 1966 à Ollioules (Var), est un homme politique français."
Marie-Agnès_Poussier-Winsback,"Marie-Agnès Poussier-Winsback, née le 25 mars 1967 à Nancy (Meurthe-et-Moselle), est une femme politique française."
Michel_Barnier,"Michel Barnier, né le 9 janvier 1951 à La Tronche (Isère), est un homme d'État français. Plusieurs fois ministre et commissaire européen, négociateur en chef du Brexit pour l'Union européenne, il est Premier ministre français du 5 septembre au 13 décembre 2024."
Jean-Baptiste_Lemoyne,"Jean-Baptiste Lemoyne peut désigner :Jean-Baptiste Lemoyne (1679-1731), dit Jean-Baptiste I Lemoyne, un sculpteur français ;
Jean-Baptiste Le Moyne de Bienville (1680-1767), un explorateur français, fondateur de La Nouvelle-Orléans ;
Jean-Baptiste Lemoyne (1704-1778), dit Jean-Baptiste II Lemoyne, un sculpteur français, neveu du sculpteur Jean-Baptiste I Lemoyne ;
Jean-Baptiste Moyne, dit Lemoyne (1751-1796), un compositeur français ;
Jean-Baptiste Lemoyne (1977-), un homme politique français."
Hervé_Lebreton,"Hervé Lebreton, né en 1971 à Blois, est un professeur de mathématiques, un militant et un essayiste français. Il est particulièrement connu pour être parvenu avec l'association « Pour une démocratie directe » à obtenir le détail d'utilisation par chaque député ou sénateur, de la réserve parlementaire."
Luc_Lemonnier,"Luc Lemonnier, né le 22 mai 1968 au Havre (Seine-Maritime), est un homme politique français, maire du Havre de 2017 à 2019."
Xavier_de_Lesquen,"Xavier de Lesquen, né le 19 juin 1962 à Tours, est un essayiste, haut fonctionnaire et marin français."
Laurent_Pietraszewski,"Laurent Pietraszewski, né le 19 novembre 1966 à Saint-Denis (Seine), est un homme politique français."
Roland_Lescure,"Roland Lescure, né le 26 novembre 1966 à Paris 11e (Seine), est un économiste, homme d'affaires et homme politique français ayant la double nationalité canadienne."
Patrice_Vergriete,"Patrice Vergriete, né le 4 juillet 1968 à Dunkerque, est un homme politique français. Il est maire de Dunkerque, président de la communauté urbaine de Dunkerque, président du Pôle métropolitain Côte d'Opale depuis 2014 et président de l'Agence nationale pour la rénovation urbaine."
Emmanuel_Macron,"Emmanuel Macron, né le 21 décembre 1977 à Amiens (Somme), est un haut fonctionnaire, banquier d'affaires et homme d'État français. Il est président de la République française depuis le 14 mai 2017."
Clément_Beaune,"Clément Beaune, né le 14 août 1981 à Paris, est un haut fonctionnaire et homme politique français."
Matthias_Fekl,"Matthias Fekl, né le 4 octobre 1977 à Francfort-sur-le-Main, est un haut fonctionnaire et homme politique franco-allemand."
Robert_Herrmann,"Robert Herrmann, né le 17 mars 1955 à Strasbourg (Bas-Rhin), est un homme politique français."
Ali_France,"Allison Anne France, née le 13 mai 1973 à Durban, en Afrique du Sud, est une femme politique australienne."
Frédéric_Valletoux,"Frédéric Valletoux, né le 23 août 1966 à Paris 15e (Seine), est un journaliste et homme politique français."
François_Braun,"François Braun, né le 24 août 1962 à Belfort, est un médecin urgentiste, syndicaliste et homme politique français."
Gérald_Darmanin,"Gérald Darmanin, né le 11 octobre 1982 à Valenciennes (Nord), est un homme politique français."
Agnès_Pannier-Runacher,"Agnès Pannier-Runacher, née Agnès Runacher le 19 juin 1974 à Paris, est une haute fonctionnaire, cadre dirigeante d'entreprise et femme politique française."
Charles_Hufnagel,"Charles Hufnagel, né le 9 décembre 1973 à Vichy, est un conseiller en communication français. Ancien conseiller communication du Premier ministre Édouard Philippe, il est actuellement directeur exécutif de la communication du Groupe Carrefour."
Jean-François_Carenco,"Jean-François Carenco, né le 7 juillet 1952 à Talence (Gironde), est un haut fonctionnaire et homme politique français."
Sacha_Houlié,"Sacha Houlié, né le 8 octobre 1988 à Bressuire (Deux-Sèvres), est un avocat et homme politique français."
Jean-Paul_Delevoye,"Jean-Paul Delevoye, né le 22 janvier 1947 à Bapaume (Pas-de-Calais), est un homme politique français."
Brune_Poirson,"Brune Poirson, née le 1er septembre 1982 à Washington D.C. (États-Unis), est une cadre d'entreprise et femme politique française, également de nationalité américaine."
Christophe_Tardieu,"Christophe Tardieu, né le 20 novembre 1964 à Versailles, est un haut fonctionnaire français."
Olivier_Schrameck,"Olivier Schrameck, né le 27 février 1951 dans le 15e arrondissement de Paris, est un haut fonctionnaire français. Il est à plusieurs reprises directeur du cabinet de Lionel Jospin, dont il est décrit comme un proche, alors que celui-ci est ministre de l’Éducation nationale (1988-1991), puis Premier ministre (1997-2002)."
Brice_Hortefeux,"Brice Hortefeux, né le 11 mai 1958 à Neuilly-sur-Seine (Seine), est un homme politique français."
Nicolas_Daragon,"Nicolas Daragon, né le 12 mars 1972 à Valence (Drôme), est un homme politique français. Membre du parti Les Républicains, il est maire de Valence depuis 2014 et vice-président du conseil régional d'Auvergne-Rhône-Alpes depuis 2016."
Aurélien_Rousseau,"Aurélien Rousseau, né le 25 juin 1976 à Alès (Gard), est un haut fonctionnaire et homme politique français, membre du Conseil d'État et dirigeant d'établissement public."
Alexandre_Fabre,"Louis-Alexandre Fabre, dit Alexandre Fabre, né le 17 mars 1954 en Tunisie, est un acteur et metteur en scène français, principalement connu pour son rôle de Charles Frémont dans Plus belle la vie."
Pap_Ndiaye,"Pap Ndiaye, né le 25 octobre 1965 à Antony (Hauts-de-Seine), est un enseignant-chercheur, historien et homme politique français. Professeur des universités, il est spécialiste d'histoire sociale des États-Unis et des minorités."
Nicolas_Hulot,"Nicolas Hulot [nikɔla ylo], né le 30 avril 1955 à Lille, est un journaliste, reporter, animateur et producteur de télévision, écrivain, militant écologiste, homme d'affaires et homme politique français."
Charlotte_Caubel,"Charlotte Caubel, née le 2 juin 1972 à Nancy (Meurthe-et-Moselle), est une magistrate et femme politique française, membre du parti Horizons."
Alain_Griset,"Alain Griset, né le 30 mai 1953 à Faches-Thumesnil (Nord), est un chef d'entreprise et homme politique français."
Antoine_Armand,"Antoine Armand, né le 10 septembre 1991 à Paris, est un haut fonctionnaire et homme politique français."
Jean_Rottner,"Jean Rottner, né le 28 janvier 1967 à Mulhouse, est un médecin et homme politique français. Successivement membre de l’UDF, de l’UMP puis de LR, il est maire de Mulhouse de 2010 à 2017 et président du conseil régional du Grand Est de 2017 à 2023."
Prisca_Thévenot,"Prisca Thevenot, née Prisca Balasoobramanen le 1er mars 1985 à Strasbourg (Bas-Rhin), est une femme politique française."
Benjamin_Griveaux,"Benjamin Griveaux, de son nom complet Benjamin-Blaise Griveaux, né le 29 décembre 1977 à Saint-Rémy (Saône-et-Loire), est un homme politique français."
Juliette_Méadel,"Juliette Méadel, née le 17 avril 1974 à Paris, est une avocate, haute fonctionnaire et femme politique française."
Yaël_Braun-Pivet,"Yaël Braun-Pivet, née le 7 décembre 1970 à Nancy (Meurthe-et-Moselle), est une femme d'État française, présidente de l'Assemblée nationale depuis le 28 juin 2022."
Arnaud_Danjean,"Arnaud Danjean, né le 11 février 1971 à Louhans (Saône-et-Loire), est un homme politique français, membre des Républicains. Il est élu député européen lors des élections du 7 juin 2009, et réélu le 25 mai 2014 et le 26 mai 2019."
Jean-Yves_Le_Drian,"Jean-Yves Le Drian, né le 30 juin 1947 à Lorient (Morbihan), est un homme politique français."
Philippe_Englebert,"Philippe Englebert est un homme politique et banquier d'affaires français, ancien conseiller d'Emmanuel Macron de 2020 à 2022, notamment spécialisé sur les sujets des entreprises, du numérique et des nouvelles technologies."
Paul_Christophe,"Paul Christophe est un nom de personne assez fréquent en Belgique et dans le nord de la France ; il peut désigner notamment :Paul Christophe (1870-1957), ingénieur belge ;
le père Paul Christophe (1932-2016), professeur honoraire à l'Université catholique de Lille ;
Paul Christophe, homme politique français."
Adrien_Taquet,"Adrien Taquet, né le 3 janvier 1977 dans le 16e arrondissement de Paris, est un homme politique français."
Jean-Christophe_Combe,"Jean-Christophe Combe, né le 14 septembre 1981 à Sainte-Menehould (Marne), est un homme politique français."
Chris_Dercon,"Chris Dercon, né en 1958 à Lier, est un historien de l'art, commissaire d'exposition et directeur de musée belge, spécialiste des rapports entre art ancien et art contemporain. Considéré comme un des grands commissaires d'exposition européens, il est président de la Réunion des musées nationaux - Grand Palais de 2019 à 2023, puis directeur général de la Fondation Cartier pour l'art contemporain à partir de 2023."
Antoine_Michon,"Antoine Michon, né le 1er mai 1966 à Saint-Gilles-sur-Vie ou Croix-de-Vie, est entraîneur français de basket-ball. Il est, depuis juin 2014, l’entraîneur du Boulazac Basket Dordogne après avoir entraîné le Vendée Challans Basketl'Hermine de Nantes Atlantique de 2005 à 2011 et Aix Maurienne de 2011 à 2014."
Cailleau,"Cailleau est un nom de famille notamment porté par :
André-Charles Cailleau (1731-1798), libraire et éditeur français ;
Clément Cailleau (en) (1923-2011), évêque français, préfet apostolique au Sénégal ;
Guillaume Cailleau (en), artiste et réalisateur français ;
Hubert Cailleau (~1526-~1579), enlumineur à Valenciennes ;
Marie Antoinette Cailleau, veuve Duchesne, libraire et éditrice française."
Jean-Baptiste_Djebbari,"Jean-Baptiste Djebbari, né le 26 février 1982 à Melun (Seine-et-Marne), est un homme politique français."
Stanislas_Guerini,"Stanislas Guerini, né le 14 mai 1982 à Paris, est un homme politique français."
François_Hollande,"François Hollande [fʁɑ̃swa ɔlɑ̃d], né le 12 août 1954 à Rouen (Seine-Inférieure), est un haut fonctionnaire et homme d'État français. Il est président de la République française du 15 mai 2012 au 14 mai 2017."
Julien_Denormandie,"Julien Denormandie, né le 14 août 1980 à Cahors (Lot), est un haut fonctionnaire et homme politique français."
Didier_Guillaume,"Didier Guillaume, né le 11 mai 1959 à Bourg-de-Péage (Drôme) et mort le 17 janvier 2025 à Nice (Alpes-Maritimes), est un homme politique français, ministre d'État de Monaco du 2 septembre 2024 à sa mort."
Stéphane_Séjourné,"Stéphane Séjourné, né le 26 mars 1985 à Versailles, est un homme politique français."
Guillaume_Kasbarian,"Guillaume Kasbarian, né le 28 février 1987 à Marseille, est un homme politique français."
Elisabeth_Borne,"Élisabeth Borne, née le 18 avril 1961 à Paris 15e (Seine), est une haute fonctionnaire et femme d'État française. Elle est Première ministre du 16 mai 2022 au 9 janvier 2024."
Thomas_Cazenave,"Thomas Cazenave, né le 6 mars 1978 à Bordeaux (Gironde), est un haut fonctionnaire et homme politique français."
Eric_Dupond-Moretti,"Éric Dupond-Moretti, né Éric Dupond le 20 avril 1961 à Maubeuge (Nord), est un avocat, homme politique et acteur de théâtre français, possédant également la nationalité italienne."
Gérard_Araud,"Gérard Araud, né le 20 février 1953 à Marseille, est un ancien diplomate français, élevé à la dignité d'ambassadeur de France."
Martin_Vial,"Martin Vial, né le 8 février 1954 à Lyon, est un haut fonctionnaire français."
Franck_Riester,"Franck Riester, né le 3 janvier 1974 à Paris 15e, est un homme politique français."
Annick_Girardin,"Annick Girardin, née le 3 août 1964 à Saint-Malo (Ille-et-Vilaine), est une femme politique française."
Daniel_Lebègue,"Daniel Lebègue, né le 4 mai 1943 à Lyon, est un haut fonctionnaire français. Il a été président de Transparency International France de 2003 à 2017."
Marie_Guévenoux,"Marie Guévenoux, née le 2 novembre 1976 à Amiens (Somme), est une femme politique française."
Gérard_Cosme,"Gérard Cosme est une personnalité politique française, né le 31 mars 1953 au Pré-Saint-Gervais."
Brigitte_Klinkert,"Brigitte Klinkert, née le 22 juillet 1956 à Colmar (Haut-Rhin), est une femme politique française."
Jean-Denis_Combrexelle,"Jean-Denis Combrexelle, né le 26 novembre 1953 en Meurthe-et-Moselle, est un haut fonctionnaire français, membre du Conseil d'État."
Thierry_Breton,"Thierry Breton, né le 15 janvier 1955 à Paris, est un dirigeant d'entreprises, administrateur de sociétés, homme politique et écrivain français. Il détient également la nationalité sénégalaise depuis 2015."
Charles_Rozoy,"Charles Maximilien Rozoy, né le 4 mars 1987 à Chenôve (Côte-d'Or), est un nageur handisport français."
Gabriel_Attal,"Gabriel Attal, né le 16 mars 1989 à Clamart (Hauts-de-Seine), est un homme d'État français qui a notamment été Premier ministre du 9 janvier au 5 septembre 2024. Redevenu député, il est depuis juillet 2024 président du groupe Ensemble pour la République à l'Assemblée nationale et est élu en décembre 2024 secrétaire général du parti Renaissance."
Bernard_Sananès,"Bernard Sananès, né le 31 juillet 1963 à Nice, est un entrepreneur et journaliste français. Il est l'ancien président-directeur général de CSA et l'actuel président de l'institut d'études Elabe, qu'il a fondé en 2015."
